tconst	emotionTags	emtionName	emotionScore
tt0078935	Adventure,Horror	Horror	100.0
tt0079285	Adventure,Horror,Sci-Fi	Horror	31.13
tt0080354	Horror,Sci-Fi,Thriller	Horror	77.39
tt0080360	Horror,Sci-Fi,Thriller	Horror	77.94
tt0080749	Horror,Thriller	Horror	31.39
tt0080761	Horror,Mystery,Thriller	Horror	51.88
tt0080904	Horror,Sci-Fi	Horror	81.72
tt0080923	Horror	Horror	43.7
tt0080931	Horror,Sci-Fi,Thriller	Horror	87.97
tt0081114	Drama,Horror,Thriller	Horror	95.31
tt0081184	Comedy,Horror,Thriller	Horror	77.78
tt0081237	Comedy,Drama,Horror	Horror	48.0
tt0081318	Horror	Horror	81.53
tt0081383	Horror,Thriller	Horror	61.5
tt0081455	Horror,Sci-Fi,Thriller	Horror	68.68
tt0081505	Drama,Horror	Horror	49.45
tt0081617	Horror,Thriller	Horror	59.32
tt0081793	Horror,Thriller	Horror	69.89
tt0082010	Comedy,Horror	Horror	65.23
tt0082118	Horror	Horror	75.66
tt0082242	Horror,Mystery	Horror	66.67
tt0082307	Horror	Horror	83.72
tt0082334	Drama,Horror	Horror	21.01
tt0082377	Horror	Horror	51.52
tt0082418	Horror,Mystery,Thriller	Horror	51.0
tt0082427	Horror	Horror	45.21
tt0082431	Action,Adventure,Horror	Horror	60.0
tt0082449	Drama,Horror,Thriller	Horror	0.0
tt0082495	Horror	Horror	53.85
tt0082497	Drama,Horror,Thriller	Horror	55.56
tt0082498	Horror,Mystery,Thriller	Horror	59.68
tt0082511	Horror,Thriller	Horror	43.24
tt0082533	Horror	Horror	50.0
tt0082700	Adventure,Horror	Horror	93.1
tt0082748	Horror,Mystery,Thriller	Horror	88.44
tt0082782	Horror,Mystery,Thriller	Horror	58.75
tt0082933	Drama,Horror	Horror	52.11
tt0082951	Horror,Mystery,Thriller	Horror	69.17
tt0082966	Horror	Horror	69.14
tt0083336	Horror,Thriller	Horror	44.0
tt0083550	Horror	Horror	18.79
tt0083624	Comedy,Horror	Horror	66.67
tt0083722	Fantasy,Horror,Thriller	Horror	63.71
tt0083767	Comedy,Fantasy,Horror	Horror	66.67
tt0083907	Horror	Horror	54.15
tt0083972	Horror,Thriller	Horror	59.74
tt0084516	Horror,Thriller	Horror	8.49
tt0084556	Crime,Horror,Mystery	Horror	38.1
tt0084695	Horror	Horror	72.52
tt0084719	Horror,Mystery,Thriller	Horror	94.81
tt0084745	Horror,Sci-Fi	Horror	60.26
tt0084777	Horror,Mystery,Thriller	Horror	82.5
tt0084787	Horror,Mystery,Sci-Fi	Horror	40.78
tt0084899	Drama,Horror	Horror	70.0
tt0085159	Horror	Horror	12.79
tt0085333	Horror,Thriller	Horror	35.27
tt0085382	Horror,Thriller	Horror	33.14
tt0085407	Drama,Horror,Sci-Fi	Horror	59.72
tt0085636	Horror,Mystery,Sci-Fi	Horror	66.94
tt0085694	Horror,Mystery,Thriller	Horror	70.79
tt0085701	Drama,Horror	Horror	50.77
tt0085780	Drama,Fantasy,Horror	Horror	38.04
tt0086154	Crime,Horror,Mystery	Horror	40.76
tt0086320	Horror	Horror	38.62
tt0086491	Horror,Sci-Fi	Horror	32.35
tt0086541	Horror,Sci-Fi,Thriller	Horror	66.26
tt0086610	Horror,Sci-Fi	Horror	60.0
tt0087015	Horror,Sci-Fi	Horror	51.58
tt0087050	Horror,Thriller	Horror	51.5
tt0087075	Drama,Fantasy,Horror	Horror	35.0
tt0087175	Action,Adventure,Horror	Horror	45.71
tt0087262	Action,Horror,Sci-Fi	Horror	31.58
tt0087298	Horror,Thriller	Horror	66.18
tt0087344	Action,Horror,Sci-Fi	Horror	81.54
tt0087363	Comedy,Fantasy,Horror	Horror	42.76
tt0087622	Fantasy,Horror,Sci-Fi	Horror	49.06
tt0087799	Comedy,Horror,Sci-Fi	Horror	56.42
tt0087800	Horror	Horror	33.15
tt0087909	Horror,Mystery	Horror	81.82
tt0087981	Horror,Thriller	Horror	57.81
tt0088117	Horror,Thriller	Horror	40.7
tt0088889	Comedy,Horror,Thriller	Horror	35.29
tt0088993	Horror,Thriller	Horror	91.38
tt0089013	Horror	Horror	67.91
tt0089173	Horror,Mystery,Thriller	Horror	65.73
tt0089175	Horror,Thriller	Horror	48.0
tt0089200	Comedy,Fantasy,Horror	Horror	46.15
tt0089489	Action,Horror,Mystery	Horror	52.83
tt0089686	Horror	Horror	60.47
tt0089730	Comedy,Fantasy,Horror	Horror	50.91
tt0089885	Comedy,Horror,Sci-Fi	Horror	87.14
tt0089907	Comedy,Horror,Sci-Fi	Horror	71.88
tt0090021	Horror	Horror	51.3
tt0090094	Comedy,Horror,Sci-Fi	Horror	63.06
tt0090190	Action,Comedy,Horror	Horror	79.59
tt0090196	Comedy,Fantasy,Horror	Horror	64.41
